Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
324,2015,21-Mar-15,West,Third Round,14 Georgia State,67,6 Xavier,75,,-8,"Jacksonville, FL"
325,2015,21-Mar-15,South,Third Round,4 Georgetown,64,5 Utah,75,,-11,"Portland, OR"
326,2015,21-Mar-15,Midwest,Third Round,8 Cincinnati,51,1 Kentucky,64,,-13,"Louisville, KY"
327,2015,21-Mar-15,Midwest,Third Round,6 Butler,64,3 Notre Dame,67,OT,-3,"Pittsburgh, PA"
328,2015,21-Mar-15,West,Third Round,5 Arkansas,78,4 North Carolina,87,,-9,"Jacksonville, FL"
329,2015,21-Mar-15,West,Third Round,2 Arizona,73,10 Ohio State,58,,15,"Portland, OR"
330,2015,21-Mar-15,South,Third Round,14 Alabama-Birmingham,75,11 UCLA,92,,-17,"Louisville, KY"
331,2015,20-Mar-15,East,Second Round,12 Wyoming,54,5 Northern Iowa,71,,-17,"Seattle, WA"
332,2015,20-Mar-15,West,Second Round,1 Wisconsin,86,16 Coastal Carolina,72,,14,"Omaha, NE"
333,2015,20-Mar-15,Midwest,Second Round,7 Wichita State,81,10 Indiana,76,,5,"Omaha, NE"
334,2015,20-Mar-15,Midwest,Second Round,5 West Virginia,68,12 Buffalo,62,,6,"Columbus, OH"
335,2015,20-Mar-15,East,Second Round,2 Virginia,79,15 Belmont,67,,12,"Charlotte, NC"
336,2015,20-Mar-15,Midwest,Second Round,13 Valparaiso,62,4 Maryland,65,,-3,"Columbus, OH"
337,2015,20-Mar-15,South,Second Round,9 St. John's (NY),64,8 San Diego State,76,,-12,"Charlotte, NC"
338,2015,20-Mar-15,South,Second Round,8 San Diego State,76,9 St. John's (NY),64,,12,"Charlotte, NC"
339,2015,20-Mar-15,South,Second Round,16 Robert Morris,56,1 Duke,85,,-29,"Charlotte, NC"
340,2015,20-Mar-15,East,Second Round,6 Providence,53,11 Dayton,66,,-13,"Columbus, OH"
341,2015,20-Mar-15,West,Second Round,8 Oregon,79,9 Oklahoma State,73,,6,"Omaha, NE"
